Disease,Symptoms,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Average_Severity
Jaundice,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' yellowish_skin', ' dark_urine']","Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,3.857142857142857
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.0
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.25
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.25
Malaria,"[' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.428571428571429
Malaria,"[' chills', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.142857142857143
Malaria,"[' chills', ' vomiting', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,3.857142857142857
Malaria,"[' chills', ' vomiting', ' high_fever', ' headache', ' nausea', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.428571428571429
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' nausea', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.428571428571429
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.142857142857143
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.0
Chicken pox,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,4.0
Chicken pox,"[' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,4.3
Chicken pox,"['itching', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,4.1
Chicken pox,"['itching', ' skin_rash', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,4.0
Chicken pox,"['itching', ' skin_rash', ' fatigue', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,4.2
Chicken pox,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' headache', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,3.7
Chicken pox,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' loss_of_appetite', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,4.1
Chicken pox,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' mild_fever', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,4.0
Chicken pox,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' swelled_lymph_nodes', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,3.9
Chicken pox,"['itching', ' skin_rash', ' fatigue', ' lethargy', ' high_fever', ' headache', ' loss_of_appetite', ' mild_fever', ' malaise', ' red_spots_over_body']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing ,consume neem leaves,take vaccine,avoid public places,3.8
Dengue,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' muscle_pain', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,3.769230769230769
Dengue,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,4.076923076923077
Dengue,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,4.0
Dengue,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,3.9285714285714284
Dengue,"[' chills', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,4.0
Dengue,"[' skin_rash', ' joint_pain', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,4.0
Dengue,"[' skin_rash', ' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,4.0
Dengue,"[' skin_rash', ' chills', ' joint_pain', ' fatigue', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,3.8461538461538463
Dengue,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' high_fever', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,3.923076923076923
Dengue,"[' skin_rash', ' chills', ' joint_pain', ' vomiting', ' fatigue', ' headache', ' nausea', ' loss_of_appetite', ' pain_behind_the_eyes', ' back_pain', ' malaise', ' muscle_pain', ' red_spots_over_body']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,3.6923076923076925
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.7
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.5
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.6
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.6
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' toxic_look_(typhos)', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.4
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.5
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.6
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.545454545454546
Typhoid,"[' chills', ' vomiting', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.545454545454546
Typhoid,"[' chills', ' fatigue', ' high_fever', ' headache', ' nausea', ' constipation', ' abdominal_pain', ' diarrhoea', ' toxic_look_(typhos)', ' belly_pain']","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,4.5
hepatitis A,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.090909090909091
hepatitis A,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.090909090909091
hepatitis A,"[' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.2
hepatitis A,"[' joint_pain', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.0
hepatitis A,"[' joint_pain', ' vomiting', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.2
hepatitis A,"[' joint_pain', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.1
hepatitis A,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.0
hepatitis A,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' abdominal_pain', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.1
hepatitis A,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' diarrhoea', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,4.1
hepatitis A,"[' joint_pain', ' vomiting', ' yellowish_skin', ' dark_urine', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' mild_fever', ' yellowing_of_eyes', ' muscle_pain']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,3.9
Hepatitis B,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.5833333333333335
Hepatitis B,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.5833333333333335
Hepatitis B,"[' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.8181818181818183
Hepatitis B,"['itching', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.5454545454545454
Hepatitis B,"['itching', ' fatigue', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.727272727272727
Hepatitis B,"['itching', ' fatigue', ' lethargy', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.6363636363636362
Hepatitis B,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' loss_of_appetite', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.5454545454545454
Hepatitis B,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' abdominal_pain', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.5454545454545454
Hepatitis B,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' yellow_urine', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.5454545454545454
Hepatitis B,"['itching', ' fatigue', ' lethargy', ' yellowish_skin', ' dark_urine', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', ' malaise', ' receiving_blood_transfusion', ' receiving_unsterile_injections']","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital,vaccination,eat healthy,medication,3.5454545454545454
Hepatitis C,"[' fatigue', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' family_history']","Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Consult nearest hospital,vaccination,eat healthy,medication,4.2
Hepatitis C,"[' fatigue', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' yellowing_of_eyes', ' family_history']","Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Consult nearest hospital,vaccination,eat healthy,medication,4.166666666666667
Hepatitis C,"[' yellowish_skin', ' nausea', ' loss_of_appetite', ' yellowing_of_eyes', ' family_history']","Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Consult nearest hospital,vaccination,eat healthy,medication,4.2
Hepatitis C,"[' fatigue', ' nausea', ' loss_of_appetite', ' yellowing_of_eyes', ' family_history']","Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Consult nearest hospital,vaccination,eat healthy,medication,4.4
